t,z,V,Mach,alpha,q_total,T_surface,T_bulk,thickness,TPS_failed
3.1,119800,7800.38,26.4359,0.0101648,822653,315.925,300,0.0793655,0
3.11,119799,7800.38,26.4359,0.0101769,822698,315.977,300,0.0793635,0
3.12,119798,7800.38,26.4359,0.010189,822743,316.028,300,0.0793614,0
3.13,119797,7800.38,26.4359,0.0102011,822788,316.08,300,0.0793594,0
3.14,119796,7800.38,26.4359,0.0102132,822834,316.132,300,0.0793573,0
3.15,119796,7800.38,26.4359,0.0102253,822879,316.184,300,0.0793552,0
3.16,119795,7800.38,26.4359,0.0102375,822925,316.236,300,0.0793532,0
3.17,119794,7800.38,26.4359,0.0102496,822970,316.288,300,0.0793511,0
3.18,119793,7800.38,26.4359,0.0102617,823016,316.339,300,0.0793491,0
3.19,119792,7800.38,26.4359,0.0102738,823061,316.391,300,0.079347,0
3.2,119792,7800.39,26.4359,0.0102859,823107,316.443,300,0.079345,0
3.21,119791,7800.39,26.4359,0.010298,823153,316.495,300,0.0793429,0
3.22,119790,7800.39,26.4359,0.0103101,823199,316.547,300,0.0793409,0
3.23,119789,7800.39,26.4359,0.0103222,823244,316.599,300,0.0793388,0
3.24,119788,7800.39,26.4359,0.0103343,823290,316.65,300,0.0793367,0
3.25,119788,7800.39,26.4359,0.0103465,823336,316.702,300,0.0793347,0
3.26,119787,7800.39,26.4359,0.0103586,823382,316.754,300,0.0793326,0
3.27,119786,7800.39,26.4359,0.0103707,823429,316.806,300,0.0793306,0
3.28,119785,7800.39,26.4359,0.0103828,823475,316.858,300,0.0793285,0
3.29,119784,7800.39,26.4359,0.0103949,823521,316.91,300,0.0793265,0
3.3,119784,7800.39,26.4359,0.010407,823567,316.962,300,0.0793244,0
3.31,119783,7800.4,26.4359,0.0104191,823613,317.013,300,0.0793223,0
3.32,119782,7800.4,26.4359,0.0104312,823660,317.065,300,0.0793203,0
3.33,119781,7800.4,26.4359,0.0104434,823706,317.117,300,0.0793182,0
3.34,119780,7800.4,26.4359,0.0104555,823753,317.169,300,0.0793162,0
3.35,119779,7800.4,26.4359,0.0104676,823799,317.221,300,0.0793141,0
3.36,119779,7800.4,26.4359,0.0104797,823846,317.273,300,0.079312,0
3.37,119778,7800.4,26.4359,0.0104918,823892,317.325,300,0.07931,0
3.38,119777,7800.4,26.4359,0.0105039,823939,317.377,300,0.0793079,0
3.39,119776,7800.4,26.4359,0.010516,823986,317.429,300,0.0793059,0
3.4,119775,7800.4,26.436,0.0105281,824033,317.481,300,0.0793038,0
3.41,119775,7800.4,26.436,0.0105402,824079,317.532,300,0.0793018,0
3.42,119774,7800.41,26.436,0.0105524,824126,317.584,300,0.0792997,0
